====== GPT-2 Fine-Tuning Log ======

Step	Epoch	Metrics
10	0.006743088334457181	{'loss': 8.8124, 'grad_norm': 69.79663848876953, 'learning_rate': 9.987862440997977e-06, 'epoch': 0.006743088334457181}
20	0.013486176668914362	{'loss': 6.9432, 'grad_norm': 29.953901290893555, 'learning_rate': 9.974376264329064e-06, 'epoch': 0.013486176668914362}
30	0.020229265003371546	{'loss': 6.3922, 'grad_norm': 18.373817443847656, 'learning_rate': 9.960890087660149e-06, 'epoch': 0.020229265003371546}
40	0.026972353337828724	{'loss': 6.1719, 'grad_norm': 9.52665901184082, 'learning_rate': 9.947403910991235e-06, 'epoch': 0.026972353337828724}
50	0.033715441672285906	{'loss': 5.9481, 'grad_norm': 9.517932891845703, 'learning_rate': 9.93391773432232e-06, 'epoch': 0.033715441672285906}
60	0.04045853000674309	{'loss': 5.7069, 'grad_norm': 7.551795959472656, 'learning_rate': 9.920431557653406e-06, 'epoch': 0.04045853000674309}
70	0.04720161834120027	{'loss': 5.4634, 'grad_norm': 9.641097068786621, 'learning_rate': 9.906945380984491e-06, 'epoch': 0.04720161834120027}
80	0.05394470667565745	{'loss': 5.4648, 'grad_norm': 7.835301876068115, 'learning_rate': 9.893459204315577e-06, 'epoch': 0.05394470667565745}
90	0.060687795010114634	{'loss': 5.2603, 'grad_norm': 8.084836959838867, 'learning_rate': 9.879973027646664e-06, 'epoch': 0.060687795010114634}
100	0.06743088334457181	{'loss': 5.1963, 'grad_norm': 5.227113723754883, 'learning_rate': 9.866486850977749e-06, 'epoch': 0.06743088334457181}
110	0.07417397167902899	{'loss': 5.134, 'grad_norm': 10.979513168334961, 'learning_rate': 9.853000674308835e-06, 'epoch': 0.07417397167902899}
120	0.08091706001348618	{'loss': 5.1105, 'grad_norm': 6.002763271331787, 'learning_rate': 9.83951449763992e-06, 'epoch': 0.08091706001348618}
130	0.08766014834794336	{'loss': 5.0936, 'grad_norm': 7.285877704620361, 'learning_rate': 9.826028320971005e-06, 'epoch': 0.08766014834794336}
140	0.09440323668240054	{'loss': 4.9295, 'grad_norm': 6.5479736328125, 'learning_rate': 9.812542144302091e-06, 'epoch': 0.09440323668240054}
150	0.10114632501685772	{'loss': 4.9985, 'grad_norm': 5.0896382331848145, 'learning_rate': 9.799055967633176e-06, 'epoch': 0.10114632501685772}
160	0.1078894133513149	{'loss': 4.9198, 'grad_norm': 8.518118858337402, 'learning_rate': 9.785569790964262e-06, 'epoch': 0.1078894133513149}
